"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","1","Surefire suite","Surefire test","com.store.tests.CartTest","com.store.tests.CartTest","verifyRemoveFromCart","verifyRemoveFromCart","Verify that removing items from the cart works correctly"
"skipped","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","1","Surefire suite","Surefire test","com.store.tests.LoginTest","com.store.tests.LoginTest","doLoginTestWithDataProvider","doLoginTestWithDataProvider","Verify that the user can login successfully with valid credentials"
"skipped","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","0","Surefire suite","Surefire test","com.store.tests.RegisterTest","com.store.tests.RegisterTest","verifyUserCanRegisterSuccessfully","verifyUserCanRegisterSuccessfully","Verify that the user can register successfully"
"passed","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","1","Surefire suite","Surefire test","com.store.tests.CheckoutTest","com.store.tests.CheckoutTest","verifyCheckoutFlow","verifyCheckoutFlow","Verify that the checkout flow works correctly"
"skipped","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","0","Surefire suite","Surefire test","com.store.tests.RegisterTest","com.store.tests.RegisterTest","verifyUserCannotRegisterWithMismatchPassword","verifyUserCannotRegisterWithMismatchPassword","Verify that the user cannot register with mismatch password"
"skipped","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","1","Surefire suite","Surefire test","com.store.tests.RegisterTest","com.store.tests.RegisterTest","verifyUserCannotRegisterWithInvalidEmail","verifyUserCannotRegisterWithInvalidEmail","Verify that the user cannot register with invalid email"
"passed","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","1","Surefire suite","Surefire test","com.store.tests.CartTest","com.store.tests.CartTest","verifyCartTotalCalculation","verifyCartTotalCalculation","Verify that the cart total calculation is correct"
"skipped","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","0","Surefire suite","Surefire test","com.store.tests.RegisterTest","com.store.tests.RegisterTest","verifyUserCannotRegisterWithMissingData","verifyUserCannotRegisterWithMissingData","Verify that the user cannot register with missing data"
"passed","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","0","Surefire suite","Surefire test","com.store.tests.CheckoutTest","com.store.tests.CheckoutTest","verifyCheckoutWithMissingData","verifyCheckoutWithMissingData","Verify that the checkout flow works correctly with missing data"
"skipped","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","1","Surefire suite","Surefire test","com.store.tests.HomeTest","com.store.tests.HomeTest","verifyLoginWithEvidence","verifyLoginWithEvidence","Verify that the register link is displayed on the home page"
"skipped","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","1","Surefire suite","Surefire test","com.store.tests.HomeTest","com.store.tests.HomeTest","verifyInputSearch","verifyInputSearch","Verify that the search input field is displayed on the home page"
"skipped","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","2","Surefire suite","Surefire test","com.store.tests.ProductTest","com.store.tests.ProductTest","verifyProductDetails","verifyProductDetails","Verify that the product details are displayed correctly"
"passed","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","1","Surefire suite","Surefire test","com.store.tests.CartTest","com.store.tests.CartTest","verifyAddToCart","verifyAddToCart","Verify that adding items to the cart works correctly"
"broken","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","1","Surefire suite","Surefire test","com.store.tests.RegisterTest","com.store.tests.RegisterTest","setup","setup",""
"skipped","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","1","Surefire suite","Surefire test","com.store.tests.HomeTest","com.store.tests.HomeTest","verifyTopHeaderMenu","verifyTopHeaderMenu","Verify that the top header menu options are displayed on the home page"
"broken","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","1","Surefire suite","Surefire test","com.store.tests.HomeTest","com.store.tests.HomeTest","setup","setup",""
"skipped","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","0","Surefire suite","Surefire test","com.store.tests.HomeTest","com.store.tests.HomeTest","verifyMainLogo","verifyMainLogo","Verify that the main logo is displayed on the home page"
"passed","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","0","Surefire suite","Surefire test","com.store.tests.SecurityTest","com.store.tests.SecurityTest","verifyRegisterWithScriptInjection","verifyRegisterWithScriptInjection","Verify that the application is protected against SQL injection and script injection"
"passed","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","0","Surefire suite","Surefire test","com.store.tests.SecurityTest","com.store.tests.SecurityTest","verifyLoginWithSQLInjection","verifyLoginWithSQLInjection","Verify that the application is protected against SQL injection and script injection"
"skipped","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","0","Surefire suite","Surefire test","com.store.tests.LoginTest","com.store.tests.LoginTest","doLoginTestWithDataProvider","doLoginTestWithDataProvider","Verify that the user can login successfully with valid credentials"
"broken","Sat Apr 11 16:16:48 UTC 2026","Sat Apr 11 16:16:48 UTC 2026","1","Surefire suite","Surefire test","com.store.tests.LoginTest","com.store.tests.LoginTest","setup","setup",""
